year,state,state_po,dem_votes,gop_votes,dem_share
1984,WISCONSIN,WI,995740,1198584,0.45377984290378265
1984,WYOMING,WY,53370,133241,0.28599600237928097
1988,ALABAMA,AL,549506,815576,0.40254431601911095
1988,ALASKA,AK,72584,119251,0.37836682565746604
1988,ARIZONA,AZ,454029,702541,0.39256508469007495
1988,ARKANSAS,AR,349237,466578,0.42808357286884896
1988,CALIFORNIA,CA,4702233,5054917,0.4819268946362411
1988,COLORADO,CO,621453,728177,0.4604617561850285
1988,CONNECTICUT,CT,676584,750241,0.4741884954356701
1988,DELAWARE,DE,108647,139639,0.4375881040413072
1988,DISTRICT OF COLUMBIA,DC,159407,27590,0.8524575260565678
1988,FLORIDA,FL,1656701,2618885,0.38747928354148414
1988,GEORGIA,GA,714792,1081331,0.3979638365523965
1988,HAWAII,HI,192364,158625,0.5480627598015892
1988,IDAHO,ID,147272,253881,0.3671217714936695
1988,ILLINOIS,IL,2215940,2310939,0.4895072300364114
1988,INDIANA,IN,860643,1297763,0.3987400887506799
1988,IOWA,IA,670557,545355,0.5514848114008251
1988,KANSAS,KS,422636,554049,0.4327249829781352
1988,KENTUCKY,KY,580368,734281,0.44146232188211454
1988,LOUISIANA,LA,717460,883702,0.4480870767605027
1988,MAINE,ME,243569,307131,0.4422898129653169
1988,MARYLAND,MD,826304,876167,0.48535569768882997
1988,MASSACHUSETTS,MA,1401415,1194635,0.5398258893318696
1988,MICHIGAN,MI,1675783,1965486,0.46021950039944864
1988,MINNESOTA,MN,1109471,962337,0.5355085992524404
1988,MISSISSIPPI,MS,363921,557890,0.39478917044817213
1988,MISSOURI,MO,1001619,1084953,0.4800308831902278
1988,MONTANA,MT,168936,190412,0.4701181027861572
1988,NEBRASKA,NE,259235,397956,0.39445914505828594
1988,NEVADA,NV,132738,206040,0.39181410835414343
1988,NEW HAMPSHIRE,NH,163696,281537,0.3676636727286612
1988,NEW JERSEY,NJ,1320352,1743192,0.43098842386464825
1988,NEW MEXICO,NM,244497,270341,0.4749008425951464
1988,NEW YORK,NY,3255487,2838414,0.5342205263918793
1988,NORTH CAROLINA,NC,890167,1237258,0.4184246213144999
1988,NORTH DAKOTA,ND,127739,166559,0.4340464427213233
1988,OHIO,OH,1939629,2416549,0.4452593534974925
1988,OKLAHOMA,OK,483423,678367,0.41610187727558334
1988,OREGON,OR,616206,560126,0.5238368079759795
1988,PENNSYLVANIA,PA,2194944,2300087,0.4883045300466226
1988,RHODE ISLAND,RI,225123,177761,0.5587787055331063
1988,SOUTH CAROLINA,SC,370554,606443,0.37927854435581687
1988,SOUTH DAKOTA,SD,145560,165415,0.468076211914141
1988,TENNESSEE,TN,679794,947233,0.4178135949802923
1988,TEXAS,TX,2352748,3036829,0.43653667068862734
1988,UTAH,UT,207343,428442,0.32612125168099276
1988,VERMONT,VT,115775,124331,0.48218286923275555
1988,VIRGINIA,VA,859799,1309162,0.3964105394241759
1988,WASHINGTON,WA,933516,903835,0.5080771175458582
1988,WEST VIRGINIA,WV,341016,310065,0.5237689319762058
1988,WISCONSIN,WI,1126794,1047499,0.5182346629456104
1988,WYOMING,WY,67113,106867,0.38575123577422693
1992,ALABAMA,AL,690080,804283,0.46178873540097015
1992,ALASKA,AK,78294,102000,0.4342573796132983
1992,ARIZONA,AZ,543050,572086,0.48698096016988063
1992,ARKANSAS,AR,505823,337324,0.5999226706612252
1992,CALIFORNIA,CA,5121325,3630574,0.5851672876937908
1992,COLORADO,CO,629681,562850,0.5280206552282498
1992,CONNECTICUT,CT,682318,578313,0.5412511670742668
1992,DELAWARE,DE,126054,102313,0.5519799270472528
1992,DISTRICT OF COLUMBIA,DC,192619,20698,0.9029706961939273
1992,FLORIDA,FL,2071698,2173310,0.48803158910419014
1992,GEORGIA,GA,1008966,995252,0.5034212845109663
1992,HAWAII,HI,179310,136822,0.567199777308213
1992,IDAHO,ID,137013,202645,0.40338516978843425
1992,ILLINOIS,IL,2453350,1734096,0.585882182122468
1992,INDIANA,IN,848420,989375,0.4616510546606123
1992,IOWA,IA,586353,504891,0.5373252911356213
1992,KANSAS,KS,390434,449951,0.4645894441238242
1992,KENTUCKY,KY,665104,617178,0.5186877769476606
1992,LOUISIANA,LA,815971,733386,0.5266513786041565
1992,MAINE,ME,263420,206504,0.5605587286454831
1992,MARYLAND,MD,988571,707094,0.5829990003921766
1992,MASSACHUSETTS,MA,1318639,805039,0.6209222867120157
1992,MICHIGAN,MI,1871182,1554940,0.5461515964697112
1992,MINNESOTA,MN,1020997,747841,0.5772134022448636
1992,MISSISSIPPI,MS,400258,487793,0.45071510532615805
1992,MISSOURI,MO,1053873,811159,0.5650696610031356
1992,MONTANA,MT,154507,144207,0.517240571248753
1992,NEBRASKA,NE,216864,343678,0.3868826956766844
1992,NEVADA,NV,189148,175828,0.5182477751961773
1992,NEW HAMPSHIRE,NH,209040,202484,0.507965513554495
1992,NEW JERSEY,NJ,1436206,1356865,0.5142031835209345
1992,NEW MEXICO,NM,261617,212824,0.5514215676975641
1992,NEW YORK,NY,3346894,2041690,0.6211082540422493
1992,NORTH CAROLINA,NC,1114042,1134661,0.49541535720813284
1992,NORTH DAKOTA,ND,99168,136244,0.42125295227091225
1992,OHIO,OH,1984942,1894310,0.5116816334695452
1992,OKLAHOMA,OK,473066,592929,0.4437788169738132
1992,OREGON,OR,621314,475757,0.5663389151659282
1992,PENNSYLVANIA,PA,2239164,1791841,0.5554852946101531
1992,RHODE ISLAND,RI,213299,131601,0.6184372281820818
1992,SOUTH CAROLINA,SC,525514,577507,0.4764315457275972
1992,SOUTH DAKOTA,SD,124888,136718,0.4773896623166135
1992,TENNESSEE,TN,933521,841300,0.5259803664707596
1992,TEXAS,TX,2281815,2496071,0.47757836834114503
1992,UTAH,UT,183429,322632,0.3624642088601967
1992,VERMONT,VT,133592,88122,0.6025420135850691
1992,VIRGINIA,VA,1038650,1150517,0.4744498706585656
1992,WASHINGTON,WA,993037,731234,0.5759170107251123
1992,WEST VIRGINIA,WV,331001,241974,0.5776883808194074
1992,WISCONSIN,WI,1041066,930855,0.5279450850211544
1992,WYOMING,WY,68160,79347,0.46207976570603426
1996,ALABAMA,AL,662165,769044,0.46266128846311055
1996,ALASKA,AK,80380,122746,0.3957149749416618
1996,ARIZONA,AZ,653288,622073,0.5122377115185426
1996,ARKANSAS,AR,475171,325416,0.5935282486475548
1996,CALIFORNIA,CA,5119835,3828381,0.5721626523096894
1996,COLORADO,CO,671152,691848,0.4924079236977256
1996,CONNECTICUT,CT,735740,483109,0.6036350688231273
1996,DELAWARE,DE,140355,99062,0.5862365663256995
1996,DISTRICT OF COLUMBIA,DC,158220,17339,0.9012354820886426
1996,FLORIDA,FL,2546870,2244536,0.5315496119510641
1996,GEORGIA,GA,1053849,1080843,0.4936773080144583
1996,HAWAII,HI,205012,113943,0.6427615180824882
1996,IDAHO,ID,165443,256595,0.3920097242428407
1996,ILLINOIS,IL,2341744,1587021,0.5960509218545778
1996,INDIANA,IN,887424,1006693,0.46851593644954354
1996,IOWA,IA,620258,492644,0.5573338892373273
1996,KANSAS,KS,387659,583245,0.39927634452015853
1996,KENTUCKY,KY,636614,623283,0.5052905118434284
1996,LOUISIANA,LA,927837,712586,0.5656083827159214
1996,MAINE,ME,312788,186378,0.6266212041685532
1996,MARYLAND,MD,966207,681530,0.5863842348627238
1996,MASSACHUSETTS,MA,1571509,718058,0.6863782540541509
1996,MICHIGAN,MI,1989653,1481212,0.5732441336669677
1996,MINNESOTA,MN,1120380,766395,0.5938068927137576
1996,MISSISSIPPI,MS,394022,439838,0.472527762454129
1996,MISSOURI,MO,1025935,890016,0.5354703747642815
1996,MONTANA,MT,167922,179652,0.48312589549275836
1996,NEBRASKA,NE,236761,363467,0.39445177499216966
1996,NEVADA,NV,203974,199244,0.5058653135524703
1996,NEW HAMPSHIRE,NH,246166,196486,0.5561163171068921
1996,NEW JERSEY,NJ,1652361,1103099,0.599667932033127
1996,NEW MEXICO,NM,273495,232751,0.5402413056103159
1996,NEW YORK,NY,3649630,1738707,0.677320293812358
1996,NORTH CAROLINA,NC,1107849,1225938,0.4747001333026536
1996,NORTH DAKOTA,ND,106905,125050,0.4608868099415835
1996,OHIO,OH,2148222,1859883,0.5359694918172054
1996,OKLAHOMA,OK,488105,582315,0.4559939089329422
1996,OREGON,OR,649641,538152,0.5469311571965823
