"shortnam","euro1900","avexpr","logpgp95","cons1","democ00a","cons00a","extmort4","logem4","loghjypl","baseco","asia","africa","rich4","idvar","lat_abst","excolony","logem_dm"
"TKM",NA,NA,7.64012336730957,NA,NA,NA,NA,NA,NA,NA,1,0,0,"NA_NA_7.64012_NA_NA_NA_NA_NA",0.444444447755814,0,NA
"TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"TOG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"TON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"TTO",40,7.45454549789429,8.76873016357422,7,0,1,85,4.44265127182007,-0.697155237197876,1,0,0,0,"40_7.45455_8.76873_7_0_1_85_4.44265",0.122222222387791,1,-0.153332562282167
"TUN",3,6.45454549789429,8.4826021194458,1,0,1,63,4.14313459396362,-1.52785789966583,1,0,1,0,"3_6.45455_8.4826_1_0_1_63_4.14313",0.37777778506279,1,-0.452849240138613
"TUR",0,7.45454549789429,8.64117908477783,NA,NA,NA,NA,NA,-1.52326023578644,NA,1,0,0,"0_7.45455_8.64118_NA_NA_NA_NA_NA",0.433333337306976,0,NA
"TWN",0,9.22727298736572,NA,NA,NA,NA,NA,NA,-0.809680998325348,NA,1,0,0,"0_9.22727_NA_NA_NA_NA_NA_NA",NA,0,NA
"TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"TZA",0,6.63636350631714,6.25382900238037,3,0,1,145,5.63478946685791,-3.44201922416687,1,0,1,0,"0_6.63636_6.25383_3_0_1_145_5.63479",0.0666666701436043,1,1.03880563275567
"UGA",0,4.45454549789429,6.96602439880371,7,0,1,280,5.63478946685791,-3.44201922416687,1,0,1,0,"0_4.45455_6.96602_7_0_1_280_5.63479",0.0111111113801599,1,1.03880563275567
"UKR",100,NA,7.81197357177734,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_NA_7.81197_NA_NA_NA_NA_NA",0.544444441795349,0,NA
"URY",60.0000038146973,7,9.03121376037598,1,1,1,71,4.26268005371094,-1.07880961894989,1,0,0,0,"60_7_9.03121_1_1_1_71_4.26268",0.366666674613953,1,-0.333303780391298
"USA",87.5,10,10.2157402038574,7,10,7,15,2.70805025100708,0,1,0,0,1,"87.5_10_10.21574_7_10_7_15_2.70805",0.422222226858139,1,-1.88793358309516
"UZB",NA,NA,7.80791664123535,NA,NA,NA,NA,NA,NA,NA,1,0,0,"NA_NA_7.80792_NA_NA_NA_NA_NA",0.455555558204651,0,NA
"VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"VCT",10,NA,8.31874179840088,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,"10_NA_8.31874_NA_NA_NA_85_NA",0.146099999547005,1,NA
"VEN",20,7.13636350631714,9.07107830047607,1,1,3,78.0999984741211,4.35799026489258,-0.703197479248047,1,0,0,0,"20_7.13636_9.07108_1_1_3_78.1_4.35799",0.0888888910412788,1,-0.237993569209658
"VIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"VNM",0,6.40909099578857,7.27931880950928,1,0,1,140,4.94164228439331,NA,1,1,0,0,"0_6.40909_7.27932_1_0_1_140_4.94164",0.177777782082558,1,0.345658450291075
"VT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"VUT",NA,NA,8.14031600952148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_8.14032_NA_NA_NA_NA_NA",NA,0,NA
"WBG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"WSH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"WSM",NA,NA,7.86710548400879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_7.86711_NA_NA_NA_NA_NA",NA,0,NA
"YEM",0,6.36363649368286,6.64639043807983,NA,NA,NA,NA,NA,-1.55116903781891,NA,1,0,0,"0_6.36364_6.64639_NA_NA_NA_NA_NA",0.16666667163372,1,NA
"YUG",100,6.31818199157715,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_6.31818_NA_NA_NA_NA_NA_NA",NA,NA,NA
"YUG",100,6.31818199157715,NA,NA,NA,NA,NA,NA,-1.20397281646729,NA,0,0,0,"100_6.31818_NA_NA_NA_NA_NA_NA",NA,NA,NA
"ZAF",22,6.86363649368286,8.88599395751953,3,3,3,15.5,2.74083995819092,-1.3862943649292,1,0,1,0,"22_6.86364_8.88599_3_3_3_15.5_2.74084",0.322222232818604,1,-1.85514387591132
"ZAR",8,3.5,6.86693334579468,1,0,1,240,5.48063898086548,-3.41124773025513,1,0,1,0,"8_3.5_6.86693_1_0_1_240_5.48064",0,1,0.884655146763243
"ZMB",3,6.63636350631714,6.8134446144104,3,0,1,NA,NA,-2.97592973709106,NA,0,1,0,"3_6.63636_6.81344_3_0_1_NA_NA",0.16666667163372,1,NA
"ZWE",7.19999980926514,6,7.69621276855469,7,0,1,NA,NA,-2.73336815834045,NA,0,1,0,"7.2_6_7.69621_7_0_1_NA_NA",0.222222223877907,1,NA
"ZWE",7.19999980926514,NA,NA,7,0,1,NA,NA,NA,NA,0,1,0,"7.2_NA_NA_7_0_1_NA_NA",0.222222223877907,1,NA
"notIndonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
